carrier_philosophy,adjuster_type,ia_skill_level,carrier_engineer,property_type,property_age_years,loss_type,is_catastrophe,geographic_setting,policy_type,total_insured_value,prior_claims_count,supplements_issued,carrier_estimate,demand_estimate,dispute_amount,dispute_percentage,pa_involved,pa_attorney,pa_firm_type,is_roof_dispute,coverage_dispute,line_items_disputed,trades_involved,mitigation_performed,mitigation_cost,mitigation_disputed_pct,complexity_class,estimated_timeline_days,award_amount,award_position_pct,carrier_to_award_delta,carrier_to_award_delta_pct,demand_to_award_delta,demand_to_award_delta_pct,appraisal_outcome
tight,independent,medium,True,residential,7,hail,False,urban,RCV,398196.53,1,2,63321.6,233046.46,169724.86,268.04,True,False,local,True,False,21,2,False,0.0,0.0,High-Complexity,227,212443.93,87.86,149122.33,235.5,20602.54,8.84,Policyholder Favorable
tight,independent,low,False,residential,33,vehicle_impact,False,rural,RCV,318939.6,2,0,45525.97,65458.14,19932.17,43.78,False,False,,False,False,51,4,False,0.0,0.0,High-Complexity,216,64093.15,93.15,18567.18,40.78,1364.99,2.09,Policyholder Favorable
moderate,staff,,False,residential,20,wind,False,rural,RCV,495142.31,0,0,55765.85,138876.01,83110.16,149.03,True,True,local,False,False,41,3,False,0.0,0.0,High-Complexity,265,98326.51,51.21,42560.65,76.32,40549.5,29.2,Split Decision
moderate,independent,high,False,residential,49,fire,False,suburban,RCV,341848.86,0,0,18008.97,30078.14,12069.17,67.02,False,False,,False,False,117,7,True,7372.98,0.03,High-Complexity,186,23190.18,42.93,5181.21,28.77,6887.95,22.9,Split Decision
moderate,independent,high,False,residential,19,hurricane,True,rural,RCV,532257.01,0,0,92575.92,135749.72,43173.81,46.64,False,False,,False,False,18,3,True,10834.08,0.02,Simple,38,103906.75,26.24,11330.84,12.24,31842.97,23.46,Carrier Favorable
tight,independent,low,False,residential,38,hail,False,suburban,RCV,550984.35,0,2,73773.0,166745.54,92972.54,126.03,True,False,local,False,False,14,2,True,22441.21,0.57,High-Complexity,53,166745.54,100.0,92972.54,126.03,0.0,0.0,Policyholder Favorable
moderate,independent,medium,False,residential,35,water,False,suburban,RCV,534805.33,1,0,36785.32,49793.18,13007.86,35.36,False,False,,False,False,24,5,True,16228.06,0.45,High-Complexity,228,48341.96,88.84,11556.64,31.42,1451.22,2.91,Policyholder Favorable
tight,independent,low,False,residential,4,water,False,urban,RCV,372896.31,1,1,42979.27,150386.82,107407.56,249.91,True,True,national,False,False,79,3,True,6128.44,0.45,High-Complexity,176,150386.82,100.0,107407.56,249.91,0.0,0.0,Policyholder Favorable
tight,staff,,False,residential,32,wind,False,urban,RCV,530368.31,0,1,44820.39,148000.59,103180.2,230.21,True,False,local,False,False,56,1,False,0.0,0.0,Complex,79,137055.41,89.39,92235.01,205.79,10945.18,7.4,Policyholder Favorable
moderate,staff,,False,residential,9,water,False,suburban,RCV,281480.5,0,1,14828.19,26533.8,11705.6,78.94,False,False,,False,False,17,5,True,12434.95,0.32,Complex,211,26533.8,100.0,11705.6,78.94,0.0,0.0,Policyholder Favorable
moderate,staff,,False,residential,58,hail,False,urban,RCV,472182.65,0,1,70141.59,103883.86,33742.27,48.11,False,False,,False,False,20,2,False,0.0,0.0,Moderate,111,95101.79,73.97,24960.2,35.59,8782.08,8.45,Policyholder Favorable
tight,independent,medium,False,residential,54,hail,False,urban,RCV,253086.3,0,3,16710.88,49374.72,32663.84,195.46,True,False,local,False,False,48,3,False,0.0,0.0,High-Complexity,233,49374.72,100.0,32663.84,195.46,0.0,0.0,Policyholder Favorable
moderate,independent,high,True,residential,51,wind,True,urban,RCV,391711.57,1,0,63316.99,80631.79,17314.8,27.35,False,False,,True,True,10,2,False,0.0,0.0,High-Complexity,189,66057.27,15.83,2740.28,4.33,14574.52,18.08,Carrier Favorable
moderate,independent,medium,False,residential,6,hail,False,rural,RCV,549369.3,2,0,71464.5,209709.01,138244.5,193.44,True,False,regional,True,False,20,2,False,0.0,0.0,Complex,195,83514.71,8.72,12050.21,16.86,126194.29,60.18,Carrier Favorable
moderate,independent,medium,False,residential,19,hail,False,urban,ACV,203612.16,0,0,14549.1,18576.43,4027.33,27.68,False,False,,True,False,14,2,False,0.0,0.0,Simple,51,18065.85,87.32,3516.76,24.17,510.58,2.75,Policyholder Favorable
tight,independent,medium,False,residential,37,wind,False,rural,RCV,307899.84,0,0,14084.92,20754.84,6669.92,47.36,False,False,,False,False,58,3,False,0.0,0.0,High-Complexity,220,17726.78,54.6,3641.85,25.86,3028.06,14.59,Split Decision
moderate,staff,,False,residential,23,hail,False,suburban,RCV,250296.6,0,0,19586.3,35999.43,16413.13,83.8,False,False,,True,False,19,2,True,23615.86,0.44,Moderate,49,27890.17,50.59,8303.87,42.4,8109.26,22.53,Split Decision
liberal,staff,,False,residential,38,fire,False,urban,RCV,460493.19,0,1,90521.97,180183.48,89661.51,99.05,True,False,regional,False,False,97,5,True,24986.52,0.03,Complex,162,140925.19,56.22,50403.22,55.68,39258.28,21.79,Split Decision
liberal,staff,,False,residential,44,hail,False,urban,RCV,419399.89,0,0,21892.7,25557.05,3664.35,16.74,False,False,,False,False,11,2,False,0.0,0.0,Simple,60,24223.24,63.6,2330.54,10.65,1333.81,5.22,Policyholder Favorable
moderate,staff,,False,residential,37,hail,False,suburban,ACV,525194.3,1,0,41682.94,123848.85,82165.91,197.12,True,False,local,True,True,17,2,False,0.0,0.0,High-Complexity,319,52796.01,13.53,11113.08,26.66,71052.83,57.37,Carrier Favorable
moderate,independent,medium,False,residential,11,wind,True,urban,RCV,242750.77,0,3,27391.86,42276.94,14885.08,54.34,True,False,national,False,False,30,2,False,0.0,0.0,Complex,97,36968.61,64.34,9576.75,34.96,5308.33,12.56,Policyholder Favorable
moderate,staff,,False,residential,9,hurricane,True,suburban,ACV,286695.92,0,2,24309.54,80954.71,56645.17,233.02,True,False,national,True,False,7,2,True,16765.34,0.36,Complex,166,36321.42,21.21,12011.88,49.41,44633.29,55.13,Carrier Favorable
moderate,staff,,False,residential,52,hurricane,True,suburban,RCV,227972.64,1,2,34656.35,67817.58,33161.23,95.69,True,True,local,False,False,47,1,False,0.0,0.0,Complex,151,51281.28,50.13,16624.92,47.97,16536.31,24.38,Split Decision
tight,independent,medium,True,residential,10,hail,False,suburban,ACV,415982.85,1,1,24074.59,121941.88,97867.29,406.52,True,False,regional,True,False,22,1,False,0.0,0.0,High-Complexity,195,80510.6,57.67,56436.01,234.42,41431.28,33.98,Split Decision
moderate,independent,medium,False,residential,15,wind,False,suburban,RCV,412992.48,1,1,18163.37,65907.09,47743.71,262.86,True,False,national,True,False,5,3,True,6875.6,0.49,High-Complexity,251,35527.86,36.37,17364.49,95.6,30379.22,46.09,Carrier Favorable
liberal,staff,,False,residential,21,water,False,urban,RCV,425776.44,0,2,60853.95,95934.04,35080.08,57.65,True,False,local,False,False,21,5,True,13145.84,0.45,Complex,128,90571.93,84.71,29717.98,48.83,5362.11,5.59,Policyholder Favorable
moderate,staff,,False,residential,67,water,False,suburban,RCV,365651.9,1,0,60477.26,115883.75,55406.49,91.62,True,True,local,False,False,24,4,False,0.0,0.0,High-Complexity,141,112582.31,94.04,52105.05,86.16,3301.44,2.85,Policyholder Favorable
moderate,independent,medium,False,residential,16,hail,True,urban,RCV,460684.26,1,0,47312.86,75802.27,28489.41,60.21,True,False,national,False,False,57,1,False,0.0,0.0,Complex,116,70891.89,82.76,23579.03,49.84,4910.38,6.48,Policyholder Favorable
tight,independent,medium,False,residential,24,fire,False,urban,RCV,204843.39,3,2,17815.45,56332.12,38516.66,216.2,True,False,local,False,True,34,8,False,0.0,0.0,High-Complexity,189,39395.4,56.03,21579.94,121.13,16936.72,30.07,Split Decision
tight,independent,low,False,residential,11,water,False,urban,RCV,245582.65,0,1,24330.24,50256.63,25926.39,106.56,True,True,regional,False,True,73,3,False,0.0,0.0,High-Complexity,224,50256.63,100.0,25926.39,106.56,0.0,0.0,Policyholder Favorable
liberal,staff,,False,residential,39,wind,False,urban,RCV,423125.29,0,0,55401.25,68464.31,13063.07,23.58,False,False,,True,True,22,3,True,9361.38,0.45,Complex,149,68464.31,100.0,13063.07,23.58,0.0,0.0,Policyholder Favorable
liberal,staff,,False,residential,5,fire,False,urban,RCV,298671.55,1,1,19376.83,32553.9,13177.07,68.0,True,True,regional,False,False,184,5,False,0.0,0.0,High-Complexity,263,28487.27,69.14,9110.44,47.02,4066.63,12.49,Policyholder Favorable
liberal,independent,medium,False,residential,39,wind,True,suburban,ACV,286883.64,0,0,17712.03,25273.71,7561.68,42.69,True,False,local,True,False,18,3,False,0.0,0.0,Simple,52,24198.8,85.78,6486.77,36.62,1074.91,4.25,Policyholder Favorable
moderate,independent,low,False,residential,22,fire,False,suburban,RCV,494202.24,0,4,64962.88,110499.26,45536.39,70.1,True,False,local,False,True,172,9,True,3438.47,0.48,High-Complexity,268,93269.45,62.16,28306.57,43.57,17229.81,15.59,Policyholder Favorable
moderate,independent,medium,False,residential,28,wind,False,rural,RCV,253391.99,0,1,26622.33,30976.77,4354.44,16.36,False,False,,True,False,24,1,False,0.0,0.0,Moderate,67,29983.29,77.18,3360.96,12.62,993.48,3.21,Policyholder Favorable
moderate,staff,,False,residential,4,water,False,urban,RCV,338368.18,0,3,21304.91,47562.12,26257.21,123.24,True,False,local,False,False,35,3,False,0.0,0.0,Complex,158,35396.12,53.67,14091.21,66.14,12165.99,25.58,Split Decision
moderate,independent,medium,False,residential,13,hail,True,urban,RCV,409356.36,0,2,22312.65,35292.49,12979.84,58.17,True,False,local,False,False,11,2,False,0.0,0.0,Moderate,62,31709.34,72.39,9396.68,42.11,3583.15,10.15,Policyholder Favorable
tight,independent,high,False,residential,34,fire,False,suburban,ACV,501643.07,0,0,44307.12,74172.19,29865.06,67.4,False,False,,False,False,142,10,True,17171.48,0.1,High-Complexity,193,64631.11,68.05,20323.99,45.87,9541.07,12.86,Policyholder Favorable
moderate,staff,,False,residential,43,hail,False,rural,RCV,409331.85,0,0,59429.81,74785.77,15355.96,25.84,False,False,,False,False,49,2,False,0.0,0.0,Moderate,66,68553.4,59.41,9123.58,15.35,6232.38,8.33,Split Decision
moderate,staff,,False,residential,74,water,False,urban,RCV,493054.09,1,1,88025.49,205694.45,117668.96,133.68,True,True,national,False,False,35,3,True,20367.65,0.58,High-Complexity,227,197390.74,92.94,109365.25,124.24,8303.71,4.04,Policyholder Favorable
tight,independent,high,False,residential,9,water,False,suburban,ACV,410173.97,0,0,46356.96,66985.35,20628.39,44.5,False,False,,False,False,71,4,True,4005.13,0.43,High-Complexity,172,64933.48,90.05,18576.52,40.07,2051.88,3.06,Policyholder Favorable
moderate,staff,,False,residential,11,fire,False,urban,ACV,229068.35,0,1,23836.09,73036.12,49200.03,206.41,True,False,regional,False,False,174,10,True,21926.89,0.13,High-Complexity,232,62312.27,78.2,38476.18,161.42,10723.85,14.68,Policyholder Favorable
tight,independent,low,False,residential,57,water,False,suburban,ACV,244288.24,0,1,18467.72,70707.14,52239.42,282.87,True,False,national,False,True,77,2,True,19017.79,0.55,High-Complexity,304,70707.14,100.0,52239.42,282.87,0.0,0.0,Policyholder Favorable
moderate,staff,,False,residential,11,water,False,rural,RCV,595611.34,1,2,68124.47,173583.21,105458.74,154.8,True,False,regional,False,False,58,2,True,21277.5,0.17,High-Complexity,239,157939.51,85.17,89815.04,131.84,15643.7,9.01,Policyholder Favorable
moderate,independent,medium,False,residential,17,hurricane,True,suburban,RCV,294973.39,0,0,50562.78,73529.21,22966.44,45.42,False,False,,False,False,15,2,True,10843.76,0.29,Moderate,76,61858.09,49.18,11295.32,22.34,11671.12,15.87,Split Decision
moderate,staff,,False,residential,8,hurricane,True,suburban,RCV,541654.4,0,1,50230.97,97374.67,47143.7,93.85,True,False,local,False,True,50,1,False,0.0,0.0,Complex,56,85484.54,74.78,35253.57,70.18,11890.13,12.21,Policyholder Favorable
liberal,staff,,False,residential,20,hail,False,suburban,ACV,485613.06,1,0,93849.13,103292.8,9443.67,10.06,False,False,,False,False,32,2,False,0.0,0.0,Moderate,87,98153.02,45.57,4303.89,4.59,5139.78,4.98,Split Decision
tight,independent,medium,False,residential,39,water,False,suburban,RCV,458580.04,2,0,25427.25,87604.24,62176.99,244.53,True,False,regional,False,False,54,3,True,13549.53,0.08,High-Complexity,173,56949.27,50.7,31522.02,123.97,30654.97,34.99,Split Decision
liberal,independent,medium,False,residential,38,wind,False,urban,RCV,417013.75,2,0,38939.15,54660.45,15721.31,40.37,False,False,,True,False,8,1,False,0.0,0.0,Simple,41,46759.74,49.75,7820.59,20.08,7900.72,14.45,Split Decision
moderate,independent,medium,True,residential,36,hail,False,urban,RCV,595214.39,0,0,58794.18,202606.26,143812.09,244.6,True,True,local,True,False,14,3,False,0.0,0.0,High-Complexity,282,135314.02,53.21,76519.84,130.15,67292.25,33.21,Split Decision
moderate,staff,,False,residential,11,wind,False,rural,RCV,212375.06,3,0,25842.17,43113.45,17271.28,66.83,True,True,national,False,False,43,1,False,0.0,0.0,High-Complexity,301,35316.63,54.86,9474.46,36.66,7796.82,18.08,Split Decision
moderate,independent,low,False,residential,32,water,False,urban,RCV,517008.56,0,0,30627.06,44800.56,14173.5,46.28,False,False,,False,False,25,3,False,0.0,0.0,Complex,160,41515.16,76.82,10888.1,35.55,3285.41,7.33,Policyholder Favorable
moderate,staff,,False,residential,11,hail,False,rural,RCV,320978.99,0,1,37292.48,90200.62,52908.14,141.87,True,True,national,False,False,36,2,False,0.0,0.0,High-Complexity,235,82334.43,85.13,45041.95,120.78,7866.19,8.72,Policyholder Favorable
liberal,independent,low,False,residential,39,water,False,suburban,RCV,570553.04,0,0,59428.4,94196.27,34767.87,58.5,True,False,local,False,False,71,3,True,17817.61,0.43,Complex,131,87907.71,81.91,28479.32,47.92,6288.56,6.68,Policyholder Favorable
moderate,staff,,False,residential,28,wind,False,urban,RCV,479102.51,0,1,84471.12,242533.45,158062.32,187.12,True,True,national,True,False,6,3,True,21985.72,0.41,High-Complexity,247,98506.05,8.88,14034.93,16.62,144027.39,59.38,Carrier Favorable
moderate,independent,low,False,residential,64,water,False,suburban,RCV,473046.89,0,3,66498.68,134338.63,67839.95,102.02,True,True,national,False,False,45,3,False,0.0,0.0,High-Complexity,181,131787.42,96.24,65288.73,98.18,2551.22,1.9,Policyholder Favorable
tight,independent,low,False,residential,39,water,False,urban,ACV,373526.97,2,5,42806.31,149117.43,106311.12,248.35,True,False,local,False,True,35,4,True,24173.8,0.05,High-Complexity,310,122974.86,75.41,80168.55,187.28,26142.57,17.53,Policyholder Favorable
tight,independent,medium,False,residential,3,hail,False,urban,RCV,547905.27,1,2,71973.94,244438.7,172464.75,239.62,True,True,national,False,False,53,1,False,0.0,0.0,High-Complexity,170,169069.92,56.3,97095.98,134.9,75368.78,30.83,Split Decision
tight,staff,,True,residential,70,wind,False,suburban,RCV,585399.7,0,0,97234.13,418421.82,321187.69,330.32,True,False,local,True,False,13,2,False,0.0,0.0,High-Complexity,245,319203.18,69.11,221969.05,228.28,99218.64,23.71,Policyholder Favorable
tight,staff,,False,residential,23,hurricane,True,rural,RCV,359202.12,0,1,58232.65,189295.81,131063.16,225.07,True,False,national,True,False,22,3,True,7249.41,0.15,Complex,154,67871.46,7.35,9638.81,16.55,121424.35,64.15,Carrier Favorable
moderate,independent,high,False,residential,22,hail,False,suburban,RCV,476038.62,2,3,26984.05,66188.49,39204.45,145.29,True,False,local,True,False,10,2,False,0.0,0.0,Moderate,53,39354.01,31.55,12369.96,45.84,26834.49,40.54,Carrier Favorable
moderate,staff,,False,residential,29,hurricane,True,rural,ACV,584054.24,0,2,43366.45,96201.14,52834.69,121.83,True,True,regional,False,False,29,2,False,0.0,0.0,High-Complexity,183,90636.34,89.47,47269.9,109.0,5564.8,5.78,Policyholder Favorable
tight,independent,low,False,residential,14,wind,False,urban,RCV,560553.24,0,0,52393.19,154725.77,102332.57,195.32,True,True,local,False,True,48,3,False,0.0,0.0,High-Complexity,144,154725.77,100.0,102332.57,195.32,0.0,0.0,Policyholder Favorable
moderate,staff,,False,residential,6,hail,False,urban,RCV,270088.71,2,3,37067.88,77104.48,40036.6,108.01,True,False,regional,False,False,16,3,False,0.0,0.0,Complex,135,49220.23,30.35,12152.35,32.78,27884.25,36.16,Carrier Favorable
tight,independent,high,False,residential,21,hail,True,urban,ACV,534330.37,0,0,79186.48,262410.11,183223.63,231.38,True,False,local,False,False,14,3,False,0.0,0.0,Complex,156,225947.9,80.1,146761.42,185.34,36462.2,13.9,Policyholder Favorable
moderate,staff,,False,residential,14,hail,True,suburban,RCV,366377.56,1,0,63274.87,112087.55,48812.68,77.14,True,True,regional,False,False,45,3,False,0.0,0.0,Complex,106,103035.4,81.46,39760.53,62.84,9052.15,8.08,Policyholder Favorable
tight,independent,medium,False,residential,26,vehicle_impact,False,urban,RCV,318623.96,1,2,18270.24,46660.76,28390.52,155.39,True,False,national,False,False,41,4,False,0.0,0.0,High-Complexity,252,38886.72,72.62,20616.48,112.84,7774.04,16.66,Policyholder Favorable
moderate,staff,,False,residential,15,wind,False,suburban,RCV,562628.88,0,1,95439.92,311603.44,216163.51,226.49,True,True,regional,True,False,5,1,False,0.0,0.0,Complex,155,104757.07,4.31,9317.15,9.76,206846.36,66.38,Carrier Favorable
liberal,staff,,False,residential,39,hail,False,rural,ACV,300187.16,1,1,55808.71,89540.17,33731.45,60.44,True,True,regional,False,False,20,1,False,0.0,0.0,Complex,165,72127.09,48.38,16318.38,29.24,17413.08,19.45,Split Decision
moderate,independent,low,False,residential,18,hail,False,rural,RCV,246476.38,1,0,34993.83,51297.18,16303.36,46.59,False,False,,False,True,38,2,False,0.0,0.0,High-Complexity,227,44310.5,57.15,9316.68,26.62,6986.68,13.62,Split Decision
moderate,staff,,False,residential,26,hurricane,True,suburban,RCV,419842.51,1,1,25295.56,69616.61,44321.05,175.21,True,False,local,False,False,43,2,True,15693.27,0.1,Moderate,104,62468.65,83.87,37173.09,146.96,7147.96,10.27,Policyholder Favorable
tight,independent,low,False,residential,15,fire,False,suburban,RCV,574506.86,0,1,37948.9,117987.4,80038.5,210.91,True,True,national,False,False,56,9,False,0.0,0.0,High-Complexity,204,117987.4,100.0,80038.5,210.91,-0.0,-0.0,Policyholder Favorable
moderate,staff,,False,residential,44,fire,False,urban,ACV,495489.26,0,5,43173.94,90380.31,47206.36,109.34,True,False,regional,False,False,111,9,True,6931.35,0.16,High-Complexity,224,66974.38,50.42,23800.43,55.13,23405.93,25.9,Split Decision
moderate,staff,,False,residential,16,fire,False,urban,RCV,533457.25,0,1,60231.83,140453.61,80221.78,133.19,True,False,local,False,False,164,8,True,5320.92,0.47,High-Complexity,271,122190.7,77.23,61958.87,102.87,18262.91,13.0,Policyholder Favorable
tight,staff,,False,residential,33,hail,False,suburban,ACV,474053.72,0,2,41476.64,179962.35,138485.71,333.89,True,True,regional,True,False,18,3,False,0.0,0.0,High-Complexity,169,57421.5,11.51,15944.86,38.44,122540.85,68.09,Carrier Favorable
liberal,staff,,False,residential,3,wind,False,urban,RCV,364437.44,1,0,41706.69,60274.05,18567.36,44.52,False,False,,False,False,53,2,False,0.0,0.0,Moderate,64,47251.28,29.86,5544.59,13.29,13022.77,21.61,Carrier Favorable
